[11/05 23:17:32] d2.utils.events INFO:  eta: 8:43:33  iter: 19  total_loss: 4.345  loss_cls: 3.575  loss_box_reg: 0.023  loss_rpn_cls: 0.726  loss_rpn_loc: 0.018  time: 2.0598  data_time: 0.0079  lr: 0.000050  max_mem: 4562M
[11/05 23:18:14] d2.utils.events INFO:  eta: 8:42:25  iter: 39  total_loss: 0.894  loss_cls: 0.165  loss_box_reg: 0.039  loss_rpn_cls: 0.685  loss_rpn_loc: 0.015  time: 2.0641  data_time: 0.0030  lr: 0.000100  max_mem: 4562M
[11/05 23:18:54] d2.utils.events INFO:  eta: 8:37:25  iter: 59  total_loss: 0.630  loss_cls: 0.046  loss_box_reg: 0.014  loss_rpn_cls: 0.536  loss_rpn_loc: 0.015  time: 2.0522  data_time: 0.0028  lr: 0.000150  max_mem: 4562M
[11/05 23:19:35] d2.utils.events INFO:  eta: 8:35:18  iter: 79  total_loss: 0.429  loss_cls: 0.021  loss_box_reg: 0.006  loss_rpn_cls: 0.364  loss_rpn_loc: 0.016  time: 2.0462  data_time: 0.0029  lr: 0.000200  max_mem: 4562M
[11/05 23:20:16] d2.utils.events INFO:  eta: 8:33:15  iter: 99  total_loss: 0.300  loss_cls: 0.037  loss_box_reg: 0.013  loss_rpn_cls: 0.203  loss_rpn_loc: 0.019  time: 2.0469  data_time: 0.0029  lr: 0.000250  max_mem: 4622M
[11/05 23:20:55] d2.utils.events INFO:  eta: 8:29:32  iter: 119  total_loss: 0.149  loss_cls: 0.007  loss_box_reg: 0.000  loss_rpn_cls: 0.108  loss_rpn_loc: 0.016  time: 2.0355  data_time: 0.0029  lr: 0.000300  max_mem: 4622M
[11/05 23:21:36] d2.utils.events INFO:  eta: 8:29:40  iter: 139  total_loss: 0.103  loss_cls: 0.011  loss_box_reg: 0.007  loss_rpn_cls: 0.071  loss_rpn_loc: 0.013  time: 2.0351  data_time: 0.0030  lr: 0.000350  max_mem: 4622M
[11/05 23:22:16] d2.utils.events INFO:  eta: 8:26:26  iter: 159  total_loss: 0.113  loss_cls: 0.021  loss_box_reg: 0.017  loss_rpn_cls: 0.069  loss_rpn_loc: 0.015  time: 2.0325  data_time: 0.0028  lr: 0.000400  max_mem: 4622M
[11/05 23:22:58] d2.utils.events INFO:  eta: 8:27:18  iter: 179  total_loss: 0.200  loss_cls: 0.058  loss_box_reg: 0.062  loss_rpn_cls: 0.064  loss_rpn_loc: 0.015  time: 2.0388  data_time: 0.0031  lr: 0.000450  max_mem: 4622M
[11/05 23:23:38] d2.utils.events INFO:  eta: 8:24:45  iter: 199  total_loss: 0.204  loss_cls: 0.060  loss_box_reg: 0.064  loss_rpn_cls: 0.051  loss_rpn_loc: 0.013  time: 2.0350  data_time: 0.0027  lr: 0.000500  max_mem: 4622M
[11/05 23:24:18] d2.utils.events INFO:  eta: 8:22:37  iter: 219  total_loss: 0.353  loss_cls: 0.139  loss_box_reg: 0.151  loss_rpn_cls: 0.050  loss_rpn_loc: 0.013  time: 2.0284  data_time: 0.0029  lr: 0.000549  max_mem: 4622M
[11/05 23:24:58] d2.utils.events INFO:  eta: 8:20:59  iter: 239  total_loss: 0.300  loss_cls: 0.103  loss_box_reg: 0.140  loss_rpn_cls: 0.040  loss_rpn_loc: 0.011  time: 2.0271  data_time: 0.0033  lr: 0.000599  max_mem: 4622M
[11/05 23:25:37] d2.utils.events INFO:  eta: 8:18:28  iter: 259  total_loss: 0.373  loss_cls: 0.130  loss_box_reg: 0.163  loss_rpn_cls: 0.041  loss_rpn_loc: 0.012  time: 2.0215  data_time: 0.0028  lr: 0.000649  max_mem: 4622M
[11/05 23:26:16] d2.utils.events INFO:  eta: 8:17:39  iter: 279  total_loss: 0.367  loss_cls: 0.147  loss_box_reg: 0.170  loss_rpn_cls: 0.036  loss_rpn_loc: 0.011  time: 2.0181  data_time: 0.0029  lr: 0.000699  max_mem: 4622M
[11/05 23:26:57] d2.utils.events INFO:  eta: 8:16:07  iter: 299  total_loss: 0.563  loss_cls: 0.210  loss_box_reg: 0.263  loss_rpn_cls: 0.037  loss_rpn_loc: 0.017  time: 2.0184  data_time: 0.0029  lr: 0.000749  max_mem: 4622M
[11/05 23:27:38] d2.utils.events INFO:  eta: 8:15:52  iter: 319  total_loss: 0.451  loss_cls: 0.165  loss_box_reg: 0.238  loss_rpn_cls: 0.032  loss_rpn_loc: 0.011  time: 2.0198  data_time: 0.0030  lr: 0.000799  max_mem: 4622M
